ts,open,high,low,close
1784012400000,1782.38,1785.4,1778.35,1780.11,1
1784016000000,1780.11,1788.72,1778.02,1785.04,1
1784019600000,1785.04,1788.68,1781.85,1785.06,1
1784023200000,1785.08,1804.31,1785.08,1799.5,1
1784026800000,1799.5,1802.31,1794.9,1797.08,1
1784030400000,1797.08,1866.5,1793.4,1860.26,1
1784034000000,1860.31,1882,1854.02,1870.66,1
1784037600000,1870.67,1883.25,1858.8,1880.5,1
1784041200000,1880.35,1887.91,1872.12,1874.42,1
1784044800000,1874.49,1876.5,1867.76,1873.21,1
1784048400000,1873.22,1873.24,1860.43,1870.97,1
1784052000000,1870.97,1876.1,1867.49,1873.88,1
1784055600000,1873.88,1880.73,1873.47,1875.94,1
1784059200000,1876.01,1877.9,1872.89,1874.44,1
1784062800000,1874.44,1878.78,1873.5,1875.59,1
1784066400000,1875.58,1895.26,1870.86,1881.16,1
1784070000000,1881.16,1892.63,1877.84,1890.95,1
1784073600000,1890.95,1892.58,1877.11,1880.86,1
1784077200000,1880.86,1881.32,1866.66,1869.58,1
1784080800000,1869.58,1872.38,1863.72,1863.93,1
1784084400000,1863.93,1878.44,1863.8,1875.47,1
1784088000000,1875.47,1879.7,1872.54,1875.65,1
1784091600000,1875.65,1882.75,1870.84,1881.52,1
1784095200000,1881.74,1891.07,1874.59,1874.79,1
1784098800000,1874.79,1876.42,1863.75,1869.23,1
1784102400000,1869.23,1878.62,1869.2,1878.18,1
1784106000000,1878.18,1885.59,1878.02,1878.78,1
1784109600000,1878.78,1885.41,1873.76,1876.98,1
1784113200000,1876.98,1884.77,1876.22,1883.57,1
1784116800000,1883.57,1928.72,1878.18,1926.42,1
1784120400000,1926.42,1945.83,1916.54,1925.33,1
1784124000000,1925.33,1934.68,1918.48,1932.3,1
1784127600000,1932.3,1936.37,1924.74,1930.81,1
1784131200000,1930.81,1932,1903.4,1918.78,1
1784134800000,1918.82,1930.33,1918.73,1927.26,1
1784138400000,1927.25,1935.93,1921.79,1923.64,1
1784142000000,1923.64,1928.32,1918.22,1923.16,1
1784145600000,1923.16,1929.34,1919.07,1922.53,1
1784149200000,1922.53,1924.86,1918.74,1921.29,1
1784152800000,1921.29,1927.04,1917.33,1922.33,1
1784156400000,1922.33,1926.31,1914.18,1917.08,1
1784160000000,1917.08,1924.42,1910.72,1914.06,1
1784163600000,1914.07,1925.32,1907.21,1921.84,1
1784167200000,1921.84,1925.3,1918.04,1924.35,1
1784170800000,1924.36,1928.3,1916.1,1917.87,1
1784174400000,1917.87,1920.1,1913.25,1917.58,1
1784178000000,1917.58,1926.89,1916.42,1924.6,1
1784181600000,1924.59,1928.4,1914.74,1921.77,1
1784185200000,1921.77,1921.78,1904.38,1909.8,1
1784188800000,1909.81,1912.39,1874.89,1885.47,1
1784192400000,1885.47,1888.46,1879.73,1883.94,1
1784196000000,1883.94,1890.84,1882.93,1887.61,1
1784199600000,1887.61,1887.66,1878.45,1884.29,1
1784203200000,1884.29,1884.29,1866.74,1871.86,1
1784206800000,1871.86,1889.49,1870.21,1881.76,1
1784210400000,1881.74,1892.14,1873.72,1882.62,1
1784214000000,1882.61,1893.54,1870.22,1881.12,1
1784217600000,1881.12,1882.45,1873.84,1878.3,1
1784221200000,1878.26,1878.66,1862.12,1868.31,1
1784224800000,1868.31,1879.12,1867.23,1875.34,1
1784228400000,1875.33,1877.05,1870.24,1875.11,1
1784232000000,1874.81,1875.04,1870.88,1871.03,1
1784235600000,1871.03,1880.54,1871,1877.8,1
1784239200000,1877.8,1880.83,1867.44,1868.21,1
1784242800000,1868.21,1869.95,1856.63,1863.91,1
1784246400000,1863.9,1866.01,1847.77,1865,1
1784250000000,1865,1870.36,1847.1,1850.5,1
1784253600000,1850.5,1854.98,1842.59,1847.48,1
1784257200000,1847.48,1858.95,1846.63,1851.89,1
1784260800000,1851.88,1852.32,1843.16,1849.45,1
1784264400000,1849.41,1849.41,1820.85,1823.31,1
1784268000000,1823.31,1835.77,1820.54,1831.39,1
1784271600000,1831.43,1832.61,1825.13,1827.38,1
1784275200000,1827.38,1831.79,1820.45,1829.25,1
1784278800000,1829.25,1835.51,1828.3,1834.22,1
1784282400000,1834.25,1839.42,1833.29,1835.99,1
1784286000000,1835.99,1842.09,1832.24,1838.28,1
1784289600000,1838.28,1839.44,1826.59,1827.63,1
1784293200000,1827.65,1828.47,1802.72,1824.61,1
1784296800000,1824.65,1833.22,1816.15,1821.31,1
1784300400000,1821.3,1830.6,1809.91,1830,1
1784304000000,1829.99,1839.7,1825.71,1835.01,1
1784307600000,1835.01,1855.51,1835.01,1842.76,1
1784311200000,1842.76,1848.71,1834.1,1846.04,1
1784314800000,1846.04,1846.04,1834.87,1842.85,1
1784318400000,1842.87,1845.28,1836.15,1841.97,1
1784322000000,1841.97,1845.74,1839.72,1840.59,1
1784325600000,1840.59,1842.99,1836.65,1838.99,1
1784329200000,1838.99,1843.75,1834.2,1840.82,1
1784332800000,1840.82,1844.23,1839,1839.84,1
1784336400000,1839.84,1842.61,1838.35,1841.75,1
1784340000000,1841.75,1845.97,1840.45,1840.92,1
1784343600000,1840.92,1845.45,1840.45,1844.95,1
1784347200000,1844.95,1845.21,1841.5,1843.84,1
1784350800000,1843.84,1848.55,1841.99,1844.95,1
1784354400000,1844.95,1847,1842.01,1843.96,1
