ts,open,high,low,close,confirm
1784012400000,62624.6,62658.9,62515.1,62556,1
1784016000000,62556,62805.2,62495.5,62710.6,1
1784019600000,62710.6,62744.9,62534.3,62629.8,1
1784023200000,62629.8,62906.6,62610.3,62799.7,1
1784026800000,62799.7,62925.8,62718.1,62845.8,1
1784030400000,62845.8,63981.7,62787.1,63964.7,1
1784034000000,63964.7,64179.1,63701.5,63842.3,1
1784037600000,63842.3,64334.9,63585.7,64304.9,1
1784041200000,64304.7,64973.4,64197.9,64753.3,1
1784044800000,64753.3,64899.8,64621.8,64730.5,1
1784048400000,64730.5,64731,64283.9,64626.2,1
1784052000000,64626.2,64654.9,64479.5,64575.3,1
1784055600000,64575.3,64709.9,64489.3,64573.5,1
1784059200000,64573.5,64601.2,64417.3,64569.4,1
1784062800000,64569.4,64896.4,64525.9,64678.7,1
1784066400000,64678.7,65106.1,64520.8,64863.9,1
1784070000000,64863.7,65047.1,64779.3,65038.5,1
1784073600000,65038.5,65059.7,64768.6,64824.1,1
1784077200000,64824.1,64852.7,64645.1,64672.9,1
1784080800000,64672.9,64755,64485.8,64494.1,1
1784084400000,64494.1,64842.4,64494.1,64791.4,1
1784088000000,64791.4,64886.7,64714.8,64750.7,1
1784091600000,64750.7,64967.7,64607.5,64947.1,1
1784095200000,64947.1,65278.7,64812.4,64814.2,1
1784098800000,64814.2,64880.8,64484.4,64547.5,1
1784102400000,64547.5,64786.9,64547.5,64768.2,1
1784106000000,64768.2,64919,64651.8,64668.1,1
1784109600000,64668.1,64850.9,64612.3,64660.9,1
1784113200000,64660.9,64757.1,64618.2,64735.2,1
1784116800000,64735.2,65251.4,64604.7,65162.2,1
1784120400000,65162.2,65568.7,64886.7,65117.6,1
1784124000000,65117.6,65521.4,65067.8,65398.7,1
1784127600000,65398.7,65598.8,65258.5,65424.6,1
1784131200000,65424.6,65467.2,64782.6,65117.6,1
1784134800000,65117.6,65187.6,64970.1,65058.5,1
1784138400000,65058.5,65146.2,64851.1,64866,1
1784142000000,64866,65003.5,64741.2,64979.3,1
1784145600000,64979.3,65058.1,64907,64972.1,1
1784149200000,64972.1,65021.4,64794.4,64834.4,1
1784152800000,64835.1,64965.8,64773.3,64868.9,1
1784156400000,64868.9,64942.4,64696.7,64757.4,1
1784160000000,64757.4,64849.5,64501.1,64585.7,1
1784163600000,64585.7,64832.4,64391.3,64733.5,1
1784167200000,64733.5,64736.8,64580.8,64646.1,1
1784170800000,64646.1,64746.9,64554.5,64618.3,1
1784174400000,64618.3,64695.5,64545.7,64646.3,1
1784178000000,64646.2,64999.6,64604.3,64918.5,1
1784181600000,64918.5,64980.7,64629.3,64775.3,1
1784185200000,64775.3,64776.5,64083.8,64233.9,1
1784188800000,64233.9,64366.9,63888.8,64127.7,1
1784192400000,64127.7,64185,64017.9,64091.6,1
1784196000000,64091.6,64268,64076.6,64221.6,1
1784199600000,64221.6,64269.1,64098.7,64254.3,1
1784203200000,64254.3,64254.3,63855.5,63967.4,1
1784206800000,63966.8,64478.3,63960.4,64376.1,1
1784210400000,64376.1,64859.9,64332.2,64543.7,1
1784214000000,64544.3,64898.4,64321.6,64705.4,1
1784217600000,64705.4,64717.7,64334.1,64483.1,1
1784221200000,64483.1,64483.1,63995.4,64073.9,1
1784224800000,64073.9,64333.9,64053.7,64246.1,1
1784228400000,64246.1,64307.3,64149,64271.7,1
1784232000000,64271.7,64278.2,64108.8,64116.7,1
1784235600000,64116.7,64245.5,64101.9,64163.9,1
1784239200000,64163.9,64245.3,63951,63968.1,1
1784242800000,63968.1,64009,63746.5,63829.4,1
1784246400000,63829.4,63911.6,63612.1,63887.3,1
1784250000000,63887.3,64066.7,63473.8,63544.3,1
1784253600000,63544.3,63658.2,63386.2,63484.5,1
1784257200000,63484.6,63721,63483.5,63570.4,1
1784260800000,63570.4,63575.8,63316.7,63488,1
1784264400000,63487.5,63487.5,62806.5,62840.8,1
1784268000000,62840.8,62998.7,62715.2,62948.8,1
1784271600000,62948.2,62986,62798.6,62828.6,1
1784275200000,62828.6,62939.7,62670.6,62889.7,1
1784278800000,62889.7,63069.8,62861.1,62993.6,1
1784282400000,62993.6,63197.5,62992.7,63179,1
1784286000000,63179,63359.5,63063.7,63296.4,1
1784289600000,63296.4,63346.1,63065.5,63095,1
1784293200000,63095.1,63181.7,62533.3,63156,1
1784296800000,63156,63518.6,63080.9,63178.6,1
1784300400000,63178.6,63457.4,62856.9,63456.9,1
1784304000000,63456.9,63710.7,63314.6,63594.2,1
1784307600000,63594.2,64226.7,63594.1,64055,1
1784311200000,64055,64390.4,63894.1,64262,1
1784314800000,64262,64262.2,63982.6,64160.1,1
1784318400000,64160.1,64198.9,63961.9,64120.7,1
1784322000000,64120.8,64222.6,64066.3,64109.3,1
1784325600000,64109.3,64149.5,63918.3,63984.6,1
1784329200000,63984.6,64014.6,63886.6,63936,1
1784332800000,63936,64015.7,63894.8,63908.3,1
1784336400000,63908.3,64003.4,63888.1,63958.1,1
1784340000000,63958.1,64036,63933.6,63963.3,1
1784343600000,63963.3,64022.5,63932.3,64019.2,1
1784347200000,64019.2,64020.2,63945.1,63971.1,1
1784350800000,63971.1,64000.6,63929.1,63967,1
1784354400000,63967,64006.5,63949.9,63981.9,1
1784358000000,63981.9,64027.3,63979.2,64003.2,1
1784361600000,64003.2,64024.7,63955.9,64003.9,1
1784365200000,64003.9,64010.3,63940.3,63987.9,1
1784368800000,63987.9,64018,63986,64010.8,1
1784372400000,64010.8,64090.7,64010.3,64063.9,1
1784376000000,64063.9,64262.7,64056.3,64215.4,1
1784379600000,64215.4,64215.4,63965.8,64107.9,1
